transaction_id,employee_id,department,date,time,merchant_name,amount_eur,payment_channel,expense_context
TX00001,EMP_0326,Consulting,2026-06-01,06:08,Ryanair,283.88,TMC_Corporate,Business_Trip
TX00002,EMP_0205,Operations,2026-06-01,06:48,RATP,3.17,Personal_Card_Reimbursement,Daily_Expense
TX00003,EMP_0178,Sales,2026-06-01,06:50,Metro Paris,2.17,Personal_Card_Reimbursement,Daily_Expense
TX00004,EMP_0224,Engineering,2026-06-01,06:53,Bolt Operations OU,11.83,Personal_Card_Reimbursement,Daily_Expense
TX00005,EMP_0397,Marketing,2026-06-01,07:00,RATP,2.83,Personal_Card_Reimbursement,Daily_Expense
TX00006,EMP_0245,Sales,2026-06-01,07:00,Metro Paris,2.9,Personal_Card_Reimbursement,Daily_Expense
TX00007,EMP_0368,Consulting,2026-06-01,07:01,Bolt Operations OU,9.2,Personal_Card_Reimbursement,Daily_Expense
TX00008,EMP_0114,Engineering,2026-06-01,07:01,Metro Paris,3.42,Personal_Card_Reimbursement,Daily_Expense
TX00009,EMP_0215,Consulting,2026-06-01,07:03,Free Now,13.34,Personal_Card_Reimbursement,Daily_Expense
TX00010,EMP_0102,Engineering,2026-06-01,07:04,Ryanair,238.58,TMC_Corporate,Business_Trip
TX00011,EMP_0053,Consulting,2026-06-01,07:09,MVV,3.3,Personal_Card_Reimbursement,Daily_Expense
TX00012,EMP_0258,Consulting,2026-06-01,07:11,Metro Paris,3.12,Personal_Card_Reimbursement,Daily_Expense
TX00013,EMP_0244,Operations,2026-06-01,07:13,BVG,2.77,Personal_Card_Reimbursement,Daily_Expense
TX00014,EMP_0088,Engineering,2026-06-01,07:14,Metro Paris,2.42,Personal_Card_Reimbursement,Daily_Expense
TX00015,EMP_0240,Sales,2026-06-01,07:15,RATP,2.19,Personal_Card_Reimbursement,Daily_Expense
TX00016,EMP_0361,Operations,2026-06-01,07:16,Metro Paris,3.15,Personal_Card_Reimbursement,Daily_Expense
TX00017,EMP_0329,Sales,2026-06-01,07:16,Metro Paris,2.91,Personal_Card_Reimbursement,Daily_Expense
TX00018,EMP_0108,Marketing,2026-06-01,07:19,Bolt Operations OU,12.62,Personal_Card_Reimbursement,Daily_Expense
TX00019,EMP_0141,Consulting,2026-06-01,07:20,Metro Paris,3.62,Personal_Card_Reimbursement,Daily_Expense
TX00020,EMP_0396,Engineering,2026-06-01,07:21,BVG,1.93,Personal_Card_Reimbursement,Daily_Expense
TX00021,EMP_0115,Sales,2026-06-01,07:22,BVG,2.13,Personal_Card_Reimbursement,Daily_Expense
TX00022,EMP_0343,Engineering,2026-06-01,07:24,RATP,2.64,Personal_Card_Reimbursement,Daily_Expense
TX00023,EMP_0233,Sales,2026-06-01,07:24,MVV,3.35,Personal_Card_Reimbursement,Daily_Expense
TX00024,EMP_0261,Engineering,2026-06-01,07:27,Metro Paris,3.65,Personal_Card_Reimbursement,Daily_Expense
TX00025,EMP_0274,Sales,2026-06-01,07:29,Wiener Linien,3.18,Personal_Card_Reimbursement,Daily_Expense
TX00026,EMP_0222,Sales,2026-06-01,07:30,BVG,3.41,Personal_Card_Reimbursement,Daily_Expense
TX00027,EMP_0001,Engineering,2026-06-01,07:30,Metro Paris,2.28,Personal_Card_Reimbursement,Daily_Expense
TX00028,EMP_0059,Marketing,2026-06-01,07:31,Bolt Operations OU,8.66,Personal_Card_Reimbursement,Daily_Expense
TX00029,EMP_0076,Engineering,2026-06-01,07:33,Metro Paris,2.42,Personal_Card_Reimbursement,Daily_Expense
TX00030,EMP_0298,Engineering,2026-06-01,07:33,Free Now,22.75,TMC_Corporate,Business_Trip
TX00031,EMP_0234,Engineering,2026-06-01,07:34,Metro Paris,2.93,Personal_Card_Reimbursement,Daily_Expense
TX00032,EMP_0347,Consulting,2026-06-01,07:39,MVV,3.21,Personal_Card_Reimbursement,Daily_Expense
TX00033,EMP_0157,Marketing,2026-06-01,07:41,RATP,2.69,Personal_Card_Reimbursement,Daily_Expense
TX00034,EMP_0140,Engineering,2026-06-01,07:42,Metro Paris,3.95,Personal_Card_Reimbursement,Daily_Expense
TX00035,EMP_0128,Sales,2026-06-01,07:42,Metro Paris,2.19,Personal_Card_Reimbursement,Daily_Expense
TX00036,EMP_0048,Engineering,2026-06-01,07:43,Metro Paris,2.95,Personal_Card_Reimbursement,Daily_Expense
TX00037,EMP_0007,Engineering,2026-06-01,07:43,RATP,3.24,Personal_Card_Reimbursement,Daily_Expense
TX00038,EMP_0139,Sales,2026-06-01,07:43,Free Now,12.75,TMC_Corporate,Business_Trip
TX00039,EMP_0262,Engineering,2026-06-01,07:43,Free Now,22.07,Personal_Card_Reimbursement,Daily_Expense
TX00040,EMP_0206,Sales,2026-06-01,07:46,Bolt Operations OU,9.72,Personal_Card_Reimbursement,Daily_Expense
TX00041,EMP_0029,Engineering,2026-06-01,07:46,Metro Paris,2.64,Personal_Card_Reimbursement,Daily_Expense
TX00042,EMP_0385,Consulting,2026-06-01,07:46,BVG,2.56,Personal_Card_Reimbursement,Daily_Expense
TX00043,EMP_0087,Engineering,2026-06-01,07:47,RATP,3.6,Personal_Card_Reimbursement,Daily_Expense
TX00044,EMP_0126,Engineering,2026-06-01,07:48,Metro Paris,2.75,Personal_Card_Reimbursement,Daily_Expense
TX00045,EMP_0179,Marketing,2026-06-01,07:50,BVG,1.92,Personal_Card_Reimbursement,Daily_Expense
TX00046,EMP_0249,Consulting,2026-06-01,07:50,Metro Paris,2.46,Personal_Card_Reimbursement,Daily_Expense
TX00047,EMP_0080,Consulting,2026-06-01,07:51,RATP,2.11,Personal_Card_Reimbursement,Daily_Expense
TX00048,EMP_0203,Engineering,2026-06-01,07:51,Metro Paris,2.6,Personal_Card_Reimbursement,Daily_Expense
TX00049,EMP_0326,Consulting,2026-06-01,07:52,Wiener Linien,2.45,Personal_Card_Reimbursement,Daily_Expense
TX00050,EMP_0188,Engineering,2026-06-01,07:52,Bolt Operations OU,12.46,Personal_Card_Reimbursement,Daily_Expense
TX00051,EMP_0165,Sales,2026-06-01,07:52,Wiener Linien,2.08,Personal_Card_Reimbursement,Daily_Expense
TX00052,EMP_0116,Sales,2026-06-01,07:53,BVG,2.21,Personal_Card_Reimbursement,Daily_Expense
