transaction_id,employee_id,department,date,time,merchant_name,amount_eur,payment_channel,expense_context
TX0001,EMP_078,Consulting,2026-06-01,06:27,Air France,374.17,TMC_Corporate,Business_Trip
TX0002,EMP_060,Marketing,2026-06-01,08:00,MVV,2.63,Personal_Card_Reimbursement,Daily_Expense
TX0003,EMP_057,Marketing,2026-06-01,08:00,MVV,2.11,Personal_Card_Reimbursement,Daily_Expense
TX0004,EMP_067,Marketing,2026-06-01,08:00,BVG,3.12,Personal_Card_Reimbursement,Daily_Expense
TX0005,EMP_080,Consulting,2026-06-01,08:00,MVV,3.30,Personal_Card_Reimbursement,Daily_Expense
TX0006,EMP_049,Engineering,2026-06-01,08:01,Wiener Linien,2.10,Personal_Card_Reimbursement,Daily_Expense
TX0007,EMP_038,Engineering,2026-06-01,08:01,Uber BV,12.34,Personal_Card_Reimbursement,Daily_Expense
TX0008,EMP_062,Marketing,2026-06-01,08:01,Bolt Operations OU,13.28,Personal_Card_Reimbursement,Daily_Expense
TX0009,EMP_068,Marketing,2026-06-01,08:04,Wiener Linien,2.56,Personal_Card_Reimbursement,Daily_Expense
TX0010,EMP_007,Sales,2026-06-01,08:06,MVV,2.87,Personal_Card_Reimbursement,Daily_Expense
TX0011,EMP_011,Sales,2026-06-01,08:06,Metro Paris,2.60,Personal_Card_Reimbursement,Daily_Expense
TX0012,EMP_030,Engineering,2026-06-01,08:07,MVV,2.70,Personal_Card_Reimbursement,Daily_Expense
TX0013,EMP_044,Engineering,2026-06-01,08:07,Wiener Linien,2.58,Personal_Card_Reimbursement,Daily_Expense
TX0014,EMP_037,Engineering,2026-06-01,08:07,Uber BV,12.75,Personal_Card_Reimbursement,Daily_Expense
TX0015,EMP_079,Consulting,2026-06-01,08:09,Wiener Linien,3.51,Personal_Card_Reimbursement,Daily_Expense
TX0016,EMP_034,Engineering,2026-06-01,08:10,BVG,2.77,Personal_Card_Reimbursement,Daily_Expense
TX0017,EMP_052,Engineering,2026-06-01,08:14,Uber BV,10.77,Personal_Card_Reimbursement,Daily_Expense
TX0018,EMP_050,Engineering,2026-06-01,08:17,Metro Paris,2.40,Personal_Card_Reimbursement,Daily_Expense
TX0019,EMP_051,Engineering,2026-06-01,08:17,Free Now,13.07,Personal_Card_Reimbursement,Daily_Expense
TX0020,EMP_093,Operations,2026-06-01,08:17,Wiener Linien,3.31,Personal_Card_Reimbursement,Daily_Expense
TX0021,EMP_028,Engineering,2026-06-01,08:20,MVV,2.13,Personal_Card_Reimbursement,Daily_Expense
TX0022,EMP_059,Marketing,2026-06-01,08:20,Bolt Operations OU,12.85,Personal_Card_Reimbursement,Daily_Expense
TX0023,EMP_046,Engineering,2026-06-01,08:22,BVG,3.30,Personal_Card_Reimbursement,Daily_Expense
TX0024,EMP_096,Operations,2026-06-01,08:26,Wiener Linien,2.92,Personal_Card_Reimbursement,Daily_Expense
TX0025,EMP_069,Marketing,2026-06-01,08:27,Free Now,14.35,Personal_Card_Reimbursement,Daily_Expense
TX0026,EMP_031,Engineering,2026-06-01,08:28,Free Now,10.85,Personal_Card_Reimbursement,Daily_Expense
TX0027,EMP_042,Engineering,2026-06-01,08:30,Uber BV,10.35,Personal_Card_Reimbursement,Daily_Expense
TX0028,EMP_055,Engineering,2026-06-01,08:32,Bolt Operations OU,10.08,Personal_Card_Reimbursement,Daily_Expense
TX0029,EMP_070,Marketing,2026-06-01,08:32,Metro Paris,2.26,Personal_Card_Reimbursement,Daily_Expense
TX0030,EMP_056,Marketing,2026-06-01,08:32,Bolt Operations OU,14.48,Personal_Card_Reimbursement,Daily_Expense
TX0031,EMP_033,Engineering,2026-06-01,08:33,Metro Paris,2.42,Personal_Card_Reimbursement,Daily_Expense
